date,stock_id,open,high,low,close,spread,trading_volume,trading_money,trading_turnover,industry_category,stock_name,type,date_right,rolling_max_20,break_20_day_high,is_20_day_high,short_entry
2023-05-03T00:00:00.000000,2330,496.0,498.0,495.0,496.0,496.0,12694698,6305914905,25658,半導體業,台積電,twse,2025-04-14,533.0,0,0,0
2023-05-04T00:00:00.000000,2330,497.0,499.5,496.0,498.0,498.0,13699933,6818128036,14801,半導體業,台積電,twse,2025-04-14,531.0,0,0,0
2023-05-05T00:00:00.000000,2330,500.0,502.0,498.5,500.0,500.0,7898012,3949232374,10944,半導體業,台積電,twse,2025-04-14,531.0,0,0,0
2023-05-08T00:00:00.000000,2330,509.0,509.0,502.0,504.0,504.0,11737287,5932968954,13709,半導體業,台積電,twse,2025-04-14,529.0,0,0,0
2023-05-09T00:00:00.000000,2330,507.0,510.0,505.0,510.0,510.0,18762778,9530653802,17452,半導體業,台積電,twse,2025-04-14,524.0,0,0,0
2023-05-10T00:00:00.000000,2330,508.0,508.0,500.0,503.0,503.0,19385820,9753130414,26320,半導體業,台積電,twse,2025-04-14,520.0,0,0,0
2023-05-11T00:00:00.000000,2330,506.0,506.0,498.5,499.0,499.0,13775130,6894746011,20237,半導體業,台積電,twse,2025-04-14,520.0,0,0,0
2023-05-12T00:00:00.000000,2330,496.0,500.0,495.0,496.0,496.0,20746928,10313384387,27989,半導體業,台積電,twse,2025-04-14,520.0,0,0,0
2023-05-15T00:00:00.000000,2330,497.0,499.5,494.5,495.5,495.5,15548031,7721867966,16896,半導體業,台積電,twse,2025-04-14,520.0,0,0,0
2023-05-16T00:00:00.000000,2330,503.0,508.0,500.0,505.0,505.0,24052785,12131536763,22355,半導體業,台積電,twse,2025-04-14,515.0,0,0,0
2023-05-17T00:00:00.000000,2330,508.0,521.0,506.0,519.0,519.0,44352410,22870340267,52663,半導體業,台積電,twse,2025-04-14,519.0,1,1,0
2023-05-18T00:00:00.000000,2330,533.0,536.0,526.0,530.0,530.0,46107848,24437734052,50359,半導體業,台積電,twse,2025-04-14,530.0,1,1,1
2023-05-19T00:00:00.000000,2330,535.0,535.0,529.0,532.0,532.0,34742592,18476363730,39104,半導體業,台積電,twse,2025-04-14,532.0,1,1,1
2023-05-22T00:00:00.000000,2330,532.0,533.0,529.0,531.0,531.0,19037508,10100912410,18796,半導體業,台積電,twse,2025-04-14,532.0,0,0,1
2023-05-23T00:00:00.000000,2330,530.0,531.0,525.0,530.0,530.0,20126817,10638352410,15826,半導體業,台積電,twse,2025-04-14,532.0,0,0,0
2023-05-24T00:00:00.000000,2330,527.0,528.0,524.0,525.0,525.0,22621221,11888325332,16339,半導體業,台積電,twse,2025-04-14,532.0,0,0,0
2023-05-25T00:00:00.000000,2330,542.0,545.0,537.0,543.0,543.0,68360924,36976525917,80930,半導體業,台積電,twse,2025-04-14,543.0,1,1,0
2023-05-26T00:00:00.000000,2330,568.0,568.0,563.0,566.0,566.0,104924623,59322536825,131612,半導體業,台積電,twse,2025-04-14,566.0,1,1,1
2023-05-29T00:00:00.000000,2330,574.0,574.0,564.0,568.0,568.0,58813792,33454887785,52250,半導體業,台積電,twse,2025-04-14,568.0,1,1,1
2023-05-30T00:00:00.000000,2330,566.0,568.0,563.0,566.0,566.0,47490594,26861389177,32956,半導體業,台積電,twse,2025-04-14,568.0,0,0,1
2023-05-31T00:00:00.000000,2330,560.0,562.0,551.0,558.0,558.0,90675529,50573324515,39679,半導體業,台積電,twse,2025-04-14,568.0,0,0,0
2023-06-01T00:00:00.000000,2330,550.0,554.0,550.0,551.0,551.0,25257673,13920836412,25441,半導體業,台積電,twse,2025-04-14,568.0,0,0,0
